epsilon,avg,avg_DP
0.050,-20.4134765625,-20.438314909292686
0.010,-20.4134765625,-20.537668296463423
0.150,-20.4134765625,-20.421756011430897
0.200,-20.4134765625,-20.41968614919817
0.250,-20.4134765625,-20.418444231858537
0.300,-20.4134765625,-20.417616286965448
0.350,-20.4134765625,-20.4170248977561
0.400,-20.4134765625,-20.416581355849086
0.450,-20.4134765625,-20.4162363788103
0.500,-20.4134765625,-20.41596039717927
0.550,-20.4134765625,-20.41573459402661
0.600,-20.4134765625,-20.415546424732725
0.650,-20.4134765625,-20.41538720456098
0.700,-20.4134765625,-20.41525073012805
0.750,-20.4134765625,-20.41513245228618
0.800,-20.4134765625,-20.415028959174546
0.850,-20.4134765625,-20.4149376417231
0.900,-20.4134765625,-20.41485647065515
0.950,-20.4134765625,-20.414783843910143
1.000,-20.4134765625,-20.414718479839635
0.050,-12.401170701951951,-12.413589875348269
0.010,-12.401170701951951,-12.463266568933536
0.150,-12.401170701951951,-12.40531042641739
0.200,-12.401170701951951,-12.40427549530103
0.250,-12.401170701951951,-12.403654536631215
0.300,-12.401170701951951,-12.40324056418467
0.350,-12.401170701951951,-12.402944869579997
0.400,-12.401170701951951,-12.40272309862649
0.450,-12.401170701951951,-12.402550610107097
0.500,-12.401170701951951,-12.402412619291583
0.550,-12.401170701951951,-12.402299717715254
0.600,-12.401170701951951,-12.402205633068311
0.650,-12.401170701951951,-12.402126022982436
0.700,-12.401170701951951,-12.402057785765974
0.750,-12.401170701951951,-12.401998646845039
0.800,-12.401170701951951,-12.401946900289222
0.850,-12.401170701951951,-12.401901241563499
0.900,-12.401170701951951,-12.401860656029525
0.950,-12.401170701951951,-12.40182434265702
1.000,-12.401170701951951,-12.401791660621766
0.050,-9.66510034212283,-9.674299729823822
0.010,-9.66510034212283,-9.711097280627786
0.150,-9.66510034212283,-9.668166804689827
0.200,-9.66510034212283,-9.667400189048077
0.250,-9.66510034212283,-9.66694021966303
0.300,-9.66510034212283,-9.66663357340633
0.350,-9.66510034212283,-9.66641454036583
0.400,-9.66510034212283,-9.666250265585454
0.450,-9.66510034212283,-9.666122496311829
0.500,-9.66510034212283,-9.66602028089293
0.550,-9.66510034212283,-9.665936650095647
0.600,-9.66510034212283,-9.66586695776458
0.650,-9.66510034212283,-9.665807987330599
0.700,-9.66510034212283,-9.66575744124433
0.750,-9.66510034212283,-9.66571363463623
0.800,-9.66510034212283,-9.665675303854142
0.850,-9.66510034212283,-9.665641482575829
0.900,-9.66510034212283,-9.66561141921733
0.950,-9.66510034212283,-9.665584520422883
1.000,-9.66510034212283,-9.66556031150788
0.050,-8.328263880195292,-8.334473466893439
0.010,-8.328263880195292,-8.359311813686022
0.150,-8.328263880195292,-8.330333742428008
0.200,-8.328263880195292,-8.32981627686983
0.250,-8.328263880195292,-8.329505797534921
0.300,-8.328263880195292,-8.32929881131165
0.350,-8.328263880195292,-8.329150964009314
0.400,-8.328263880195292,-8.329040078532561
0.450,-8.328263880195292,-8.328953834272864
0.500,-8.328263880195292,-8.328884838865108
0.550,-8.328263880195292,-8.328828388076943
0.600,-8.328263880195292,-8.328781345753471
0.650,-8.328263880195292,-8.328741540710535
0.700,-8.328263880195292,-8.328707422102303
0.750,-8.328263880195292,-8.328677852641835
