,Tempo,Memoria Utilizada (%),CPU Utilizada (%)
0,0,56.72062967149775,60.4
1,1,56.725691339486076,34.6
2,2,56.7501560680963,34.8
3,3,56.71767703183789,35.9
4,4,56.66748215762034,35.2
5,5,56.77546440803793,35.4
6,6,56.823128448261315,34.5
7,7,56.77630801936932,35.7
8,8,56.770402740049605,34.6
9,9,56.72062967149775,38.4
10,10,56.799507330982465,41.7
11,11,56.88555568678398,41.0
12,12,56.72020786583205,33.1
13,13,56.77377718537515,34.9
14,14,56.82650289358687,34.4
15,15,56.805412610302184,35.4
16,16,56.825237476589784,33.8
17,17,56.905380553071595,35.1
18,18,56.87838499046719,35.3
19,19,56.88344665845552,37.3
20,20,56.879650407464275,33.6
21,21,56.77293357404377,32.9
22,22,56.87838499046719,41.1
23,23,56.82017580860146,42.7
24,24,56.904536941740204,37.5
25,25,56.93996861765848,34.1
26,26,56.907489581400064,35.6
27,27,56.85392026185696,33.8
28,28,56.903693330408814,35.1
29,29,56.80583441596787,33.9
30,30,56.87332332247886,35.0
31,31,56.78052607602625,33.8
32,32,56.92984528168182,35.3
33,33,56.99058529754172,35.0
34,34,56.903693330408814,35.8
35,35,56.92984528168182,42.3
36,36,56.877963184801494,41.1
37,37,56.90327152474312,38.3
38,38,56.876697767804416,35.6
39,39,56.87543235080733,34.4
40,40,56.82270664259562,35.1
41,41,56.913816666385465,35.4
42,42,56.848858593868634,33.9
43,43,56.76913732305252,33.6
44,44,56.85012401086571,34.4
45,45,56.78854038367444,35.2
46,46,56.822284836929924,34.1
47,47,56.848858593868634,37.6
48,48,56.805412610302184,41.4
49,49,56.907911387065745,42.0
50,50,56.92267458536503,35.7
51,51,56.855185678854035,36.3
52,52,56.8577165128482,35.5
53,53,56.87416693381026,34.5
54,54,56.951779176297904,34.6
55,55,56.932376115675986,34.9
56,56,57.007879329835156,33.5
57,57,56.825237476589784,35.3
58,58,56.90327152474312,33.2
59,59,56.93026708734752,35.8
60,60,56.929423476016126,38.3
61,61,56.85054581653141,41.6
62,62,56.93617236666723,41.5
63,63,56.93279792134168,34.3
64,64,56.93912500632708,34.8
65,65,56.840422480554764,34.2
66,66,56.91930014003949,34.0
67,67,56.92140916836795,34.7
68,68,56.86277818083653,34.9
69,69,56.82355025392701,36.2
70,70,56.94418667431541,36.1
71,71,56.89694443975771,33.7
72,72,57.029391418785536,36.1
73,73,57.0251733621286,41.5
74,74,56.83831345222629,41.4
75,75,56.79655469132261,38.7
76,76,56.7914930233343,35.7
77,77,56.8378916465606,35.9
78,78,56.84253150888323,36.1
79,79,56.86615262616207,34.9
80,80,56.86362179216792,35.1
81,81,56.869527071487624,33.6
82,82,56.89061735477231,34.1
83,83,56.968651402925644,36.1
84,84,56.970338625588425,34.7
85,85,56.96612056893148,36.3
86,86,57.02559516779429,40.7
87,87,56.81342691795036,41.0
88,88,56.85982554117667,37.0
89,89,56.81005247262482,34.6
90,90,56.88977374344092,35.8
91,91,56.835360812566435,36.4
92,92,56.81005247262482,34.6
93,93,56.844218731546,35.1
94,94,56.844218731546,36.5
95,95,56.903693330408814,34.6
96,96,56.82650289358687,34.7
97,97,56.77335537970946,36.2
98,98,56.87416693381026,36.8
99,99,56.84843678820294,40.6
100,100,56.87374512814456,41.8
101,101,56.855185678854035,36.2
102,102,56.98004015589937,34.3
103,103,56.93575056100153,35.3
104,104,56.852233039194175,34.8
105,105,56.86783984882485,33.3
106,106,56.85687290151681,34.0
107,107,56.93490694967015,34.6
108,108,56.84717137120586,35.0
109,109,56.82945553324672,33.7
110,110,56.76745010038975,34.1
111,111,56.76871551738682,39.7
112,112,56.79571107999123,43.4
113,113,56.75437412475325,40.8
114,114,56.815957751944524,35.0
115,115,56.84759317687155,34.5
116,116,56.761123015404344,34.5
117,117,56.79233663466567,34.0
118,118,56.81975400293576,35.9
119,119,56.79697649698831,34.3
120,120,56.77419899104085,34.5
121,121,56.9247836136935,35.8
122,122,56.868683460156234,34.9
