,Tempo,Memoria Utilizada (%),CPU Utilizada (%)
0,0,55.936071133307465,58.8
1,1,55.91582446135417,32.4
2,2,55.94197641262717,32.2
3,3,55.936071133307465,32.1
4,4,55.92299515767096,33.2
5,5,55.937336550304536,31.3
6,6,55.97993892253961,31.0
7,7,55.977408088545445,33.4
8,8,55.97487725455128,31.4
9,9,56.0006074001586,36.6
10,10,56.03266463075131,38.9
11,11,56.018745043783426,37.2
12,12,56.027602962763,32.0
13,13,56.007356290809696,32.0
14,14,56.03899171573673,32.0
15,15,56.03055560242285,31.9
16,16,56.09045200695135,31.9
17,17,56.109855067573264,34.0
18,18,56.101418954259394,32.3
19,19,56.11027687323896,31.5
20,20,56.09003020128567,31.1
21,21,56.12925812819518,33.8
22,22,56.13136715652365,37.2
23,23,56.16511160977914,40.1
24,24,56.164267998447755,39.5
25,25,56.12461826587255,31.3
26,26,56.13938146417182,33.0
27,27,56.21235384433684,32.4
28,28,56.196325229040475,32.3
29,29,56.18873272705799,31.9
30,30,56.195481617709085,33.3
31,31,56.1743913344244,31.4
32,32,56.18957633838938,31.8
33,33,56.22374259731057,33.0
34,34,56.206870370682815,31.1
35,35,56.2153064839967,37.1
36,36,56.25369079957482,40.1
37,37,56.227538848301805,37.7
38,38,56.23597496161569,31.8
39,39,56.277733722519365,33.2
40,40,56.29418414348142,33.5
41,41,56.2815299735106,31.5
42,42,56.28659164149893,32.6
43,43,56.311056370109156,32.6
44,44,56.28954428115879,31.9
45,45,56.26718858087701,33.8
46,46,56.244832880595254,33.0
47,47,56.246941908923716,32.7
48,48,56.227117042636124,39.6
49,49,56.2621269128887,39.7
50,50,56.31358720410332,35.9
51,51,56.301776645463896,33.3
52,52,56.289122475493095,31.2
53,53,56.28574803016754,31.9
54,54,56.319914289088736,32.4
55,55,56.33003762506538,30.3
56,56,56.30641650778653,31.8
57,57,56.32033609475442,32.2
58,58,56.31021275877778,31.9
59,59,56.30515109078945,32.0
60,60,56.33383387605663,36.9
61,61,56.3422699893705,39.6
62,62,56.32033609475442,39.5
63,63,56.32624137407414,33.2
64,64,56.31949248342304,31.9
65,65,56.331303042062466,31.6
66,66,56.34311360070189,31.9
67,67,56.3350992930537,31.3
68,68,56.35028429701868,32.5
69,69,56.36631291231504,31.1
70,70,56.35703318766978,30.0
71,71,56.32961581939968,33.4
72,72,56.33467748738801,32.4
73,73,56.351971519681456,36.8
74,74,56.37221819163475,38.9
75,75,56.34480082336466,39.7
76,76,56.325397762742746,30.5
77,77,56.278999139516436,32.0
78,78,56.314009009769016,30.5
79,79,56.304729285123756,31.8
80,80,56.29966761713543,31.5
81,81,56.331303042062466,30.9
82,82,56.31443081543471,30.8
83,83,56.316118038097486,31.6
84,84,56.31358720410332,31.7
85,85,56.316961649428876,31.4
86,86,56.345644434696055,38.8
87,87,56.35703318766978,38.8
88,88,56.39162125225666,35.7
89,89,56.3890904182625,32.9
90,90,56.36293846698949,30.9
91,91,56.36378207832088,33.0
92,92,56.35408054800992,32.8
93,93,56.36757832931212,31.0
94,94,56.34986249135299,32.6
95,95,56.314009009769016,32.5
96,96,56.340582766707726,33.2
97,97,56.37010916330628,31.5
98,98,56.32286692874858,32.8
99,99,56.29587136614419,38.3
100,100,56.31949248342304,40.5
101,101,56.307681924783616,33.5
102,102,56.35154971401576,32.4
103,103,56.35787679900116,33.1
104,104,56.35365874234422,32.6
105,105,56.36293846698949,31.3
106,106,56.37685805395738,31.3
107,107,56.37010916330628,31.7
108,108,56.34690985169313,32.3
109,109,56.3485970743559,32.3
110,110,56.337630127047866,30.1
111,111,56.34690985169313,35.3
112,112,56.34775346302452,39.8
113,113,56.32371054007997,37.9
114,114,56.32371054007997,34.4
115,115,56.36293846698949,33.1
116,116,56.35703318766978,32.3
117,117,56.35872041033255,31.9
118,118,56.37137458030336,31.8
119,119,56.369687357640586,31.0
120,120,56.33805193271356,33.1
121,121,56.33299026472523,33.0
122,122,56.2752028885252,32.6
123,123,56.25242538257774,6.6
124,124,56.25242538257774,6.4
125,125,56.25242538257774,8.6
126,126,56.25158177124635,8.3
127,127,56.25158177124635,2.0
128,128,56.25158177124635,1.8
129,129,56.25158177124635,2.3
130,130,56.25158177124635,2.0
131,131,56.25158177124635,2.5
132,132,56.25158177124635,2.3
133,133,56.254956216571905,2.3
134,134,56.25158177124635,1.3
135,135,56.25158177124635,1.0
136,136,56.25158177124635,2.5
137,137,56.254956216571905,8.7
138,138,56.25158177124635,8.6
139,139,56.25158177124635,6.9
140,140,56.25158177124635,2.0
141,141,56.254956216571905,1.8
142,142,56.25158177124635,2.2
143,143,56.25158177124635,2.7
144,144,56.25158177124635,2.5
145,145,56.25158177124635,2.0
146,146,56.25158177124635,2.0
147,147,56.25158177124635,2.3
148,148,56.25158177124635,2.0
149,149,56.25158177124635,1.3
150,150,56.25158177124635,8.3
151,151,56.25158177124635,8.6
152,152,56.25158177124635,5.1
153,153,56.25158177124635,2.0
154,154,56.25158177124635,2.5
155,155,56.25158177124635,2.0
156,156,56.25158177124635,2.0
157,157,56.25158177124635,2.3
158,158,56.25158177124635,1.8
159,159,56.254956216571905,2.0
160,160,56.25158177124635,2.5
161,161,56.25158177124635,2.0
162,162,56.25158177124635,4.6
163,163,56.25158177124635,7.3
164,164,56.25158177124635,8.3
165,165,56.25158177124635,3.5
166,166,56.25158177124635,2.5
167,167,56.25158177124635,2.0
168,168,56.25158177124635,2.3
169,169,56.25158177124635,2.5
170,170,56.253268993909124,2.3
171,171,56.249894548583576,2.3
172,172,56.249894548583576,2.5
173,173,56.249894548583576,2.0
174,174,56.249894548583576,2.0
175,175,56.249894548583576,6.4
176,176,56.24947274291788,9.6
177,177,56.252003576912045,7.8
178,178,56.252003576912045,1.3
179,179,56.252003576912045,2.2
180,180,56.24947274291788,2.0
181,181,56.24947274291788,2.7
182,182,56.24862913158649,2.3
183,183,56.24862913158649,2.3
184,184,56.24862913158649,2.0
185,185,56.252003576912045,2.0
186,186,56.24862913158649,2.0
187,187,56.24862913158649,3.0
188,188,56.24862913158649,7.8
189,189,56.24862913158649,8.8
190,190,56.24862913158649,6.9
191,191,56.24862913158649,2.0
192,192,56.24862913158649,0.5
193,193,56.24862913158649,2.5
194,194,56.24862913158649,2.0
195,195,56.247785520255114,2.0
196,196,56.24862913158649,3.0
197,197,56.24862913158649,2.2
198,198,56.24862913158649,2.0
199,199,56.24862913158649,3.0
