epsilon,original,privado
0.005,-12.534524936868687,-13.96961415310086
0.010,-12.534524936868687,-13.252069544984774
0.015,-12.534524936868687,-13.012888008946078
0.020,-12.534524936868687,-12.89329724092673
0.025,-12.534524936868687,-12.821542780115122
0.030,-12.534524936868687,-12.773706472907383
0.035,-12.534524936868687,-12.73953768204471
0.040,-12.534524936868687,-12.713911088897708
0.045,-12.534524936868687,-12.693979294227818
0.050,-12.534524936868687,-12.678033858491904
0.055,-12.534524936868687,-12.664987592889794
0.060,-12.534524936868687,-12.654115704888035
0.065,-12.534524936868687,-12.644916415040392
0.070,-12.534524936868687,-12.637031309456699
0.075,-12.534524936868687,-12.630197551284166
0.080,-12.534524936868687,-12.624218012883198
0.085,-12.534524936868687,-12.618941949588226
0.090,-12.534524936868687,-12.614252115548252
0.095,-12.534524936868687,-12.610055948249327
0.100,-12.534524936868687,-12.606279397680295
0.005,-24.170169733502537,-25.246486645676665
0.010,-24.170169733502537,-24.7083281895896
0.015,-24.170169733502537,-24.52894203756058
0.020,-24.170169733502537,-24.43924896154607
0.025,-24.170169733502537,-24.385433115937364
0.030,-24.170169733502537,-24.349555885531558
0.035,-24.170169733502537,-24.323929292384555
0.040,-24.170169733502537,-24.3047093475243
0.045,-24.170169733502537,-24.289760501521883
0.050,-24.170169733502537,-24.27780142471995
0.055,-24.170169733502537,-24.268016725518365
0.060,-24.170169733502537,-24.25986280951705
0.065,-24.170169733502537,-24.252963342131316
0.070,-24.170169733502537,-24.247049512943544
0.075,-24.170169733502537,-24.241924194314144
0.080,-24.170169733502537,-24.23743954051342
0.085,-24.170169733502537,-24.233482493042192
0.090,-24.170169733502537,-24.22996511751221
0.095,-24.170169733502537,-24.22681799203802
0.100,-24.170169733502537,-24.223985579111243
0.005,-30.213519597457626,-30.931064205573712
0.010,-30.213519597457626,-30.57229190151567
0.015,-30.213519597457626,-30.452701133496323
0.020,-30.213519597457626,-30.392905749486648
0.025,-30.213519597457626,-30.357028519080842
0.030,-30.213519597457626,-30.333110365476973
0.035,-30.213519597457626,-30.31602597004564
0.040,-30.213519597457626,-30.30321267347214
0.045,-30.213519597457626,-30.29324677613719
0.050,-30.213519597457626,-30.285274058269234
0.055,-30.213519597457626,-30.27875092546818
0.060,-30.213519597457626,-30.2733149814673
0.065,-30.213519597457626,-30.26871533654348
0.070,-30.213519597457626,-30.26477278375163
0.075,-30.213519597457626,-30.261355904665365
0.080,-30.213519597457626,-30.258366135464883
0.085,-30.213519597457626,-30.255728103817397
0.090,-30.213519597457626,-30.253383186797407
0.095,-30.213519597457626,-30.251285103147946
0.100,-30.213519597457626,-30.249396827863432
0.005,-28.896310432569976,-29.703548116700894
0.010,-28.896310432569976,-29.299929274635435
0.015,-28.896310432569976,-29.165389660613616
0.020,-28.896310432569976,-29.098119853602704
0.025,-28.896310432569976,-29.05775796939616
0.030,-28.896310432569976,-29.030850046591794
0.035,-28.896310432569976,-29.011630101731537
0.040,-28.896310432569976,-28.99721514308634
0.045,-28.896310432569976,-28.986003508584524
0.050,-28.896310432569976,-28.977034200983066
0.055,-28.896310432569976,-28.96969567658188
0.060,-28.896310432569976,-28.963580239580885
0.065,-28.896310432569976,-28.958405639041587
0.070,-28.896310432569976,-28.953970267150755
0.075,-28.896310432569976,-28.950126278178704
0.080,-28.896310432569976,-28.94676278782816
0.085,-28.896310432569976,-28.943795002224736
0.090,-28.896310432569976,-28.94115697057725
0.095,-28.896310432569976,-28.938796626471603
0.100,-28.896310432569976,-28.936672316776523
0.005,-20.78844991089613,-21.43424005820112
0.010,-20.78844991089613,-21.111344984548627
0.015,-20.78844991089613,-21.003713293331128
0.020,-20.78844991089613,-20.94989744772238
0.025,-20.78844991089613,-20.91760794035713
0.030,-20.78844991089613,-20.89608160211363
0.035,-20.78844991089613,-20.880705646225415
0.040,-20.78844991089613,-20.869173679309252
0.045,-20.78844991089613,-20.860204371707795
0.050,-20.78844991089613,-20.853028925626628
0.055,-20.78844991089613,-20.847158106105674
0.060,-20.78844991089613,-20.84226575650488
0.065,-20.78844991089613,-20.838126076073436
0.070,-20.78844991089613,-20.83457777856077
0.075,-20.78844991089613,-20.83150258738313
0.080,-20.78844991089613,-20.82881179510269
0.085,-20.78844991089613,-20.82643756661995
0.090,-20.78844991089613,-20.824327141301964
0.095,-20.78844991089613,-20.822438866017446
0.100,-20.78844991089613,-20.82073941826138
0.005,-18.72579318760611,-19.263951643693815
0.010,-18.72579318760611,-18.994872415649965
0.015,-18.72579318760611,-18.905179339635346
0.020,-18.72579318760611,-18.860332801628036
0.025,-18.72579318760611,-18.833424878823653
0.030,-18.72579318760611,-18.81548626362073
0.035,-18.72579318760611,-18.80267296704721
0.040,-18.72579318760611,-18.793062994617074
0.045,-18.72579318760611,-18.785588571615857
0.050,-18.72579318760611,-18.779609033214882
0.055,-18.72579318760611,-18.774716683614084
0.060,-18.72579318760611,-18.77063972561342
0.065,-18.72579318760611,-18.76718999192055
0.070,-18.72579318760611,-18.76423307732666
0.075,-18.72579318760611,-18.76167041801196
0.080,-18.72579318760611,-18.759428091111594
0.085,-18.72579318760611,-18.757449567375975
0.090,-18.72579318760611,-18.755690879610984
0.095,-18.72579318760611,-18.754117316873884
0.100,-18.72579318760611,-18.752701110410495
0.005,-18.733795032751093,-19.195073709397697
0.010,-18.733795032751093,-18.964434371074397
