epsilon,original,privado
0.005,-12.534524936868687,-12.859896237768336
0.010,-12.534524936868687,-12.809687208228903
0.015,-12.534524936868687,-12.71796645110883
0.020,-12.534524936868687,-12.82212364199959
0.025,-12.534524936868687,-12.764603900973409
0.030,-12.534524936868687,-12.702822877283792
0.035,-12.534524936868687,-12.678780314367348
0.040,-12.534524936868687,-12.503785607034184
0.045,-12.534524936868687,-12.507201088126905
0.050,-12.534524936868687,-12.485642600193872
0.055,-12.534524936868687,-12.490086448982492
0.060,-12.534524936868687,-12.533697431118739
0.065,-12.534524936868687,-12.533761085407198
0.070,-12.534524936868687,-12.519269191276026
0.075,-12.534524936868687,-12.520286240982204
0.080,-12.534524936868687,-12.570119720173214
0.085,-12.534524936868687,-12.568025909390595
0.090,-12.534524936868687,-12.520546540811717
0.095,-12.534524936868687,-12.521282245867347
0.100,-12.534524936868687,-12.46590101633375
0.005,-24.170169733502537,-22.797691322803775
0.010,-24.170169733502537,-24.310183380278296
0.015,-24.170169733502537,-24.263512164686375
0.020,-24.170169733502537,-24.185195527507837
0.025,-24.170169733502537,-24.182190368706777
0.030,-24.170169733502537,-24.28086361012081
0.035,-24.170169733502537,-24.265050199175345
0.040,-24.170169733502537,-24.370096006507485
0.045,-24.170169733502537,-24.347881976173603
0.050,-24.170169733502537,-24.15744773949776
0.055,-24.170169733502537,-24.158604284407282
0.060,-24.170169733502537,-24.198140187885286
0.065,-24.170169733502537,-24.162927945846363
0.070,-24.170169733502537,-24.163445216393235
0.075,-24.170169733502537,-24.267123945163398
0.080,-24.170169733502537,-24.261064306934596
0.085,-24.170169733502537,-24.159283875061547
0.090,-24.170169733502537,-24.159888644974934
0.095,-24.170169733502537,-24.152146398599736
0.100,-24.170169733502537,-24.153047565344874
0.005,-30.213519597457626,-30.17795230805179
0.010,-30.213519597457626,-30.195735952754706
0.015,-30.213519597457626,-30.181139677077077
0.020,-30.213519597457626,-30.189234657172214
0.025,-30.213519597457626,-30.176632707193967
0.030,-30.213519597457626,-30.18278052223791
0.035,-30.213519597457626,-30.174022043818088
0.040,-30.213519597457626,-30.17895923802303
0.045,-30.213519597457626,-30.192824224002045
0.050,-30.213519597457626,-30.1948937613476
0.055,-30.213519597457626,-30.209133280793985
0.060,-30.213519597457626,-30.20949880718262
0.065,-30.213519597457626,-30.237877814370762
0.070,-30.213519597457626,-30.236137941734107
0.075,-30.213519597457626,-30.22057192462195
0.080,-30.213519597457626,-30.22013115417418
0.085,-30.213519597457626,-30.138312761299407
0.090,-30.213519597457626,-30.142490918863754
0.095,-30.213519597457626,-30.192679212952307
0.100,-30.213519597457626,-30.193721232177573
0.005,-28.896310432569976,-27.966562660293896
0.010,-28.896310432569976,-28.431436546431936
0.015,-28.896310432569976,-29.55724302242949
0.020,-28.896310432569976,-29.39200987496461
0.025,-28.896310432569976,-28.916274951048944
0.030,-28.896310432569976,-28.91294753130245
0.035,-28.896310432569976,-28.90132907547676
0.040,-28.896310432569976,-28.900701745113412
0.045,-28.896310432569976,-28.931346734118407
0.050,-28.896310432569976,-28.927843103963564
0.055,-28.896310432569976,-28.870361558698743
0.060,-28.896310432569976,-28.87252396485468
0.065,-28.896310432569976,-28.909425667135107
0.070,-28.896310432569976,-28.90848886466617
0.075,-28.896310432569976,-28.90523260237895
0.080,-28.896310432569976,-28.90467496676589
0.085,-28.896310432569976,-28.884698840462626
0.090,-28.896310432569976,-28.885343928913034
0.095,-28.896310432569976,-28.893698182953354
0.100,-28.896310432569976,-28.893828795434185
0.005,-20.78844991089613,-20.716758457646105
0.010,-20.78844991089613,-20.752604184271117
0.015,-20.78844991089613,-20.66094273275912
0.020,-20.78844991089613,-20.692819527293373
0.025,-20.78844991089613,-20.72228655378254
0.030,-20.78844991089613,-20.733313779968135
0.035,-20.78844991089613,-20.785842264417212
0.040,-20.78844991089613,-20.786168220227076
0.045,-20.78844991089613,-20.891505510287704
0.050,-20.78844991089613,-20.881199950348545
0.055,-20.78844991089613,-20.82551387270952
0.060,-20.78844991089613,-20.82242520922507
0.065,-20.78844991089613,-20.775945438572347
0.070,-20.78844991089613,-20.776838615166906
0.075,-20.78844991089613,-20.802229389965074
0.080,-20.78844991089613,-20.801368172523265
0.085,-20.78844991089613,-20.80200897102425
0.090,-20.78844991089613,-20.80125568990602
0.095,-20.78844991089613,-20.80767380911764
0.100,-20.78844991089613,-20.806712614206564
0.005,-18.72579318760611,-18.485752476777318
0.010,-18.72579318760611,-18.605772832191715
0.015,-18.72579318760611,-18.814566366364698
0.020,-18.72579318760611,-18.79237307167505
0.025,-18.72579318760611,-18.739354636169704
0.030,-18.72579318760611,-18.73709439474244
0.035,-18.72579318760611,-18.75753031752578
0.040,-18.72579318760611,-18.753563176285823
0.045,-18.72579318760611,-18.72701480841176
0.050,-18.72579318760611,-18.726892646331194
0.055,-18.72579318760611,-18.714191476248338
0.060,-18.72579318760611,-18.71515828552815
0.065,-18.72579318760611,-18.734083566046337
0.070,-18.72579318760611,-18.73349139615775
0.075,-18.72579318760611,-18.701241155631823
0.080,-18.72579318760611,-18.702775657630216
0.085,-18.72579318760611,-18.736281031214126
0.090,-18.72579318760611,-18.735698373235905
0.095,-18.72579318760611,-18.761136812377554
0.100,-18.72579318760611,-18.75936963113898
0.005,-18.733795032751093,-18.990026442038644
0.010,-18.733795032751093,-18.86191073739487
0.015,-18.733795032751093,-18.931376343568566
